                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1161,                0.86989,                0.88194,                0.48442,                0.36529,                0.37055,                0.21964,                 1.0997,                0.91124,                  0.876,               0.007756,               0.007756,               0.007756
                     37,                 1.1118,                0.86825,                0.88074,                0.48982,                0.36698,                0.37556,                0.22514,                 1.0932,                0.90128,                0.87426,                0.00769,                0.00769,                0.00769
                     38,                 1.1045,                0.85964,                0.87968,                0.49402,                0.36453,                 0.3792,                0.22578,                 1.0937,                0.89952,                0.87455,               0.007624,               0.007624,               0.007624
                     39,                 1.1064,                 0.8568,                0.88103,                0.49317,                0.36867,                0.37695,                0.22386,                 1.0933,                0.90439,                0.87406,               0.007558,               0.007558,               0.007558
                     40,                 1.1012,                0.85676,                0.87904,                0.49982,                0.35649,                0.37621,                0.22455,                 1.0919,                0.90431,                0.87319,               0.007492,               0.007492,               0.007492
                     41,                 1.1073,                0.85713,                0.87971,                 0.4776,                0.36298,                0.37717,                0.22477,                 1.0933,                0.90376,                0.87363,               0.007426,               0.007426,               0.007426
                     42,                 1.1009,                0.84764,                0.87888,                0.49284,                0.36674,                0.38009,                0.22677,                 1.0954,                0.90007,                 0.8747,                0.00736,                0.00736,                0.00736
                     43,                 1.1011,                0.84815,                0.87864,                 0.4919,                0.36332,                0.38463,                0.22952,                 1.0884,                0.89148,                0.87348,               0.007294,               0.007294,               0.007294
                     44,                 1.1027,                0.85069,                0.87702,                0.49988,                0.36894,                0.38084,                0.22802,                 1.0867,                0.88667,                0.87364,               0.007228,               0.007228,               0.007228
                     45,                 1.1006,                0.84353,                0.87813,                0.50261,                0.36706,                 0.3836,                0.23015,                 1.0872,                0.89319,                0.87335,               0.007162,               0.007162,               0.007162
                     46,                 1.0941,                0.83594,                0.87618,                0.50237,                0.36694,                0.38413,                0.23044,                 1.0835,                0.88513,                0.87257,               0.007096,               0.007096,               0.007096
                     47,                 1.0963,                0.83592,                0.87755,                0.50519,                0.37198,                0.38565,                0.22887,                 1.0882,                0.89079,                0.87323,                0.00703,                0.00703,                0.00703
                     48,                 1.0894,                0.83165,                0.87742,                0.50021,                0.37652,                0.38806,                0.23313,                 1.0815,                0.88425,                0.87138,               0.006964,               0.006964,               0.006964
                     49,                 1.0857,                0.82614,                0.87504,                0.50953,                0.37325,                 0.3874,                0.23247,                 1.0811,                0.88682,                 0.8719,               0.006898,               0.006898,               0.006898
                     50,                  1.085,                0.82442,                0.87435,                0.49647,                0.37682,                0.38573,                 0.2309,                 1.0832,                0.88648,                 0.8723,               0.006832,               0.006832,               0.006832
                     51,                 1.0841,                0.82213,                0.87358,                0.51345,                0.38003,                0.38773,                0.23585,                 1.0807,                0.88103,                0.87123,               0.006766,               0.006766,               0.006766
                     52,                 1.0808,                0.81682,                0.87382,                0.51271,                0.37585,                0.38754,                0.23509,                 1.0816,                0.87629,                0.87086,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.0857,                0.81936,                 0.8737,                0.49404,                0.38072,                0.38797,                0.23262,                 1.0804,                0.88439,                0.87235,               0.006634,               0.006634,               0.006634
                     54,                 1.0832,                0.80932,                 0.8736,                0.51485,                0.37434,                0.38893,                0.23436,                 1.0806,                0.87881,                0.87096,               0.006568,               0.006568,               0.006568
                     55,                 1.0767,                0.80994,                0.87247,                0.50013,                0.37517,                0.38967,                0.23256,                 1.0852,                0.88176,                0.87287,               0.006502,               0.006502,               0.006502
                     56,                 1.0724,                0.80556,                0.87285,                0.50988,                 0.3765,                0.38918,                0.23271,                 1.0758,                0.87485,                0.87014,               0.006436,               0.006436,               0.006436
                     57,                 1.0768,                0.80676,                0.87264,                0.49883,                0.38004,                0.38939,                 0.2305,                 1.0875,                0.88281,                0.87311,                0.00637,                0.00637,                0.00637
                     58,                 1.0728,                0.80396,                0.87239,                0.48924,                0.38169,                0.38981,                0.23329,                  1.078,                0.87671,                0.87053,               0.006304,               0.006304,               0.006304
                     59,                 1.0744,                0.80222,                0.87096,                 0.5025,                0.38154,                0.39279,                0.23443,                 1.0776,                0.87409,                0.87055,               0.006238,               0.006238,               0.006238
                     60,                 1.0744,                0.80109,                0.87262,                0.49446,                0.38349,                0.39222,                0.23451,                 1.0776,                0.87117,                0.87001,               0.006172,               0.006172,               0.006172
                     61,                 1.0672,                0.79365,                0.87123,                0.50593,                0.38553,                0.39496,                0.23631,                 1.0781,                  0.868,                0.87008,               0.006106,               0.006106,               0.006106
                     62,                 1.0673,                0.79445,                0.87012,                0.50617,                0.38631,                0.39351,                0.23622,                 1.0728,                 0.8671,                0.86938,                0.00604,                0.00604,                0.00604
                     63,                 1.0689,                0.79269,                0.87044,                0.50467,                0.38241,                0.39152,                0.23546,                 1.0749,                0.86902,                0.86819,               0.005974,               0.005974,               0.005974
                     64,                 1.0661,                0.78894,                 0.8691,                0.51335,                0.38041,                0.39414,                0.23592,                 1.0808,                0.86851,                0.87068,               0.005908,               0.005908,               0.005908
                     65,                 1.0668,                0.78851,                0.86987,                0.51798,                0.37699,                0.39537,                0.23554,                 1.0771,                0.86454,                0.86954,               0.005842,               0.005842,               0.005842
                     66,                  1.064,                0.78712,                0.86968,                0.51232,                0.37955,                0.39284,                0.23514,                 1.0744,                0.86873,                0.86943,               0.005776,               0.005776,               0.005776
                     67,                 1.0595,                0.77667,                0.86869,                0.50612,                 0.3824,                0.39184,                  0.234,                 1.0719,                0.86656,                0.86885,                0.00571,                0.00571,                0.00571
                     68,                 1.0642,                0.78141,                 0.8681,                0.51317,                 0.3782,                0.39198,                0.23737,                 1.0746,                0.86312,                0.86847,               0.005644,               0.005644,               0.005644
