                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.1636,                0.85729,                0.88129,                0.49296,                0.36203,                0.37685,                0.22667,                 1.1469,                0.90057,                0.87533,                0.00769,                0.00769,                0.00769
                     38,                 1.1528,                0.85085,                0.88017,                0.48452,                0.37266,                0.37738,                0.22601,                 1.1371,                0.89736,                0.87468,               0.007624,               0.007624,               0.007624
                     39,                 1.1579,                0.85427,                0.88047,                0.49231,                0.36462,                0.37853,                0.22522,                 1.1404,                0.90059,                0.87454,               0.007558,               0.007558,               0.007558
                     40,                 1.1516,                0.85168,                0.88026,                0.50273,                0.37195,                0.38584,                0.22912,                 1.1367,                0.89182,                0.87314,               0.007492,               0.007492,               0.007492
                     41,                 1.1539,                0.84409,                0.87992,                0.49723,                0.36767,                0.37979,                0.22785,                 1.1412,                0.88776,                0.87449,               0.007426,               0.007426,               0.007426
                     42,                 1.1446,                0.84131,                 0.8796,                0.51235,                0.37366,                0.38708,                0.23158,                 1.1412,                0.88219,                0.87483,                0.00736,                0.00736,                0.00736
                     43,                 1.1517,                0.83785,                0.87834,                0.50246,                0.37316,                0.38522,                0.22969,                 1.1436,                0.88222,                0.87462,               0.007294,               0.007294,               0.007294
                     44,                 1.1497,                0.83634,                0.87859,                 0.5138,                0.37293,                0.38668,                0.23106,                 1.1355,                0.87626,                0.87311,               0.007228,               0.007228,               0.007228
                     45,                 1.1432,                0.83033,                0.87612,                0.49997,                0.37487,                0.38141,                0.22701,                 1.1421,                0.88063,                0.87402,               0.007162,               0.007162,               0.007162
                     46,                  1.143,                0.82567,                0.87714,                0.48781,                0.37665,                0.38689,                0.23068,                   1.14,                 0.8812,                0.87399,               0.007096,               0.007096,               0.007096
                     47,                 1.1357,                0.82312,                0.87738,                0.49266,                0.37436,                0.38484,                0.22931,                 1.1368,                0.88231,                0.87358,                0.00703,                0.00703,                0.00703
                     48,                 1.1445,                0.83116,                0.87663,                0.50711,                0.37429,                0.38533,                0.23007,                 1.1401,                  0.882,                 0.8735,               0.006964,               0.006964,               0.006964
                     49,                 1.1335,                0.81827,                0.87612,                0.51606,                0.37466,                 0.3914,                0.23427,                 1.1332,                0.87559,                0.87142,               0.006898,               0.006898,               0.006898
                     50,                 1.1401,                 0.8172,                0.87488,                0.51081,                0.37575,                0.39156,                0.23565,                 1.1334,                0.87393,                0.87117,               0.006832,               0.006832,               0.006832
                     51,                 1.1361,                0.81538,                0.87487,                 0.5019,                0.38064,                0.39066,                0.23335,                 1.1304,                0.87659,                0.87228,               0.006766,               0.006766,               0.006766
                     52,                 1.1336,                0.81423,                0.87454,                0.51577,                0.37942,                0.39196,                0.23441,                 1.1315,                0.87591,                0.86998,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.1358,                0.81116,                0.87403,                0.50339,                0.37877,                0.39127,                0.23566,                 1.1342,                0.87314,                0.87156,               0.006634,               0.006634,               0.006634
                     54,                 1.1395,                0.80917,                0.87397,                0.50632,                0.37965,                0.38939,                0.23303,                 1.1361,                0.87428,                0.87185,               0.006568,               0.006568,               0.006568
                     55,                 1.1247,                0.80123,                0.87406,                 0.5152,                0.38673,                0.39481,                0.23712,                 1.1319,                0.87149,                0.87152,               0.006502,               0.006502,               0.006502
                     56,                 1.1285,                0.80415,                0.87336,                0.50162,                0.38511,                0.39164,                0.23501,                 1.1335,                 0.8706,                0.87066,               0.006436,               0.006436,               0.006436
                     57,                 1.1258,                0.79735,                0.87289,                 0.5105,                0.38467,                0.39324,                0.23675,                 1.1297,                0.87283,                0.87084,                0.00637,                0.00637,                0.00637
                     58,                   1.12,                0.79427,                0.87115,                0.50666,                0.38639,                0.39267,                0.23517,                 1.1312,                0.87261,                0.87014,               0.006304,               0.006304,               0.006304
                     59,                 1.1224,                0.79464,                0.87066,                0.51252,                0.38666,                0.39072,                0.23445,                 1.1311,                0.87371,                0.87131,               0.006238,               0.006238,               0.006238
                     60,                 1.1215,                0.78857,                0.86993,                 0.5057,                0.38913,                0.39322,                0.23484,                 1.1299,                0.87391,                0.87113,               0.006172,               0.006172,               0.006172
                     61,                 1.1165,                0.78158,                 0.8705,                0.50418,                0.38893,                0.39528,                0.23743,                 1.1284,                0.86809,                0.87113,               0.006106,               0.006106,               0.006106
                     62,                 1.1229,                0.78821,                0.87097,                0.50166,                0.38901,                0.39665,                 0.2384,                 1.1288,                0.86788,                0.87107,                0.00604,                0.00604,                0.00604
                     63,                 1.1179,                0.78148,                0.87046,                0.50141,                0.38862,                0.39515,                 0.2366,                 1.1304,                0.86861,                 0.8706,               0.005974,               0.005974,               0.005974
                     64,                  1.112,                0.78063,                0.86967,                0.51683,                0.38385,                0.39774,                0.23852,                 1.1274,                0.86398,                 0.8702,               0.005908,               0.005908,               0.005908
                     65,                 1.1155,                0.77871,                0.87031,                0.51137,                0.38282,                0.39889,                0.23967,                 1.1256,                0.86475,                0.86977,               0.005842,               0.005842,               0.005842
                     66,                 1.1105,                0.77513,                0.87032,                0.51159,                0.38535,                0.39769,                0.23934,                 1.1281,                0.86462,                0.87005,               0.005776,               0.005776,               0.005776
                     67,                 1.1146,                 0.7747,                0.86977,                0.49967,                0.38995,                0.40125,                 0.2404,                 1.1282,                0.85996,                0.87064,                0.00571,                0.00571,                0.00571
                     68,                 1.1088,                0.76892,                0.86758,                0.51242,                0.38812,                 0.4001,                 0.2409,                 1.1274,                0.85829,                0.86872,               0.005644,               0.005644,               0.005644
                     69,                 1.1023,                0.76343,                0.86848,                0.51698,                0.38773,                0.39945,                 0.2398,                 1.1266,                 0.8619,                   0.87,               0.005578,               0.005578,               0.005578
